Date,Account Number,Balance Forward,Gas & Water Charges,Gas Charges,Gas Consumption,Stormwater Rate Charges,Total,Water Charges,Water Consumption
2021-02-28,110159085.0,0.0,152.695,113.08500000000001,295.5,16.39,169.085,39.61,7.0
2021-03-31,110159085.0,0.0,121.90935483870967,85.03322580645161,196.8709677419355,16.39,138.2993548387097,36.87612903225806,6.516129032258064
2021-04-30,110159085.0,0.0,89.25,55.29,98.5,16.39,105.64,33.96,6.0
2021-05-31,110159085.0,0.0,77.10593750000001,40.144375,47.90625,16.39,93.49593750000001,36.9615625,6.53125
2021-06-30,110159085.0,0.0,64.91193548387098,28.035806451612906,7.548387096774194,16.39,81.30193548387096,36.87612903225806,6.516129032258064
2021-07-31,110159085.0,0.0,58.9915625,27.689375000000002,4.125,16.39,75.3815625,31.3021875,5.53125
2021-08-31,110159085.0,0.0,54.92333333333333,26.633333333333333,2.9333333333333336,16.39,71.31333333333333,28.29,5.0
2021-09-30,110159085.0,0.0,67.685,31.961875,20.625,16.39,84.075,35.723124999999996,6.3125
2021-10-31,110159085.0,0.0,76.79206896551723,39.12827586206897,46.48275862068966,16.39,93.18206896551723,37.66379310344828,6.655172413793103
2021-11-30,110159085.0,0.0,98.705,64.755,130.0,16.39,115.095,33.95,6.0
2021-12-31,110159085.0,0.0,170.19685714285714,124.92342857142857,293.0,16.39,186.58685714285713,45.273428571428575,7.9714285714285715
